gram,counts
6000,93
inhibits,93
europe,93
vote,92
lost,92
farrakhan,92
msm,92
consequences,92
planning,92
frontline,92
bercmag,91
parler,91
mike,91
arn,91
went,91
sa,91
scamdemic,90
opts,89
misinformation,89
sheep,89
british,88
story,88
cheap,88
obviously,87
covid19uk,87
win,87
positives,87
buying,87
murder,87
sold,87
beyond,87
chief,87
four,86
convince,86
confounding,86
banned,86
intentionally,85
rushing,85
proper,85
product,85
personal,85
immediately,85
anywhere,84
piece,84
statutory,84
march,84
ger,83
makers,83
similar,83
facebook,83
infect,83
heart,83
refused,83
exists,82
carry,82
stage,82
rolled,82
everybody,82
reported,82
masses,82
drdavidsamadi,82
yadavakhilesh,81
planet,81
infertility,81
rat,81
christmas,80
quarantine,80
lets,80
94,80
richest,80
unethical,80
chip,80
plans,80
upon,79
republicans,79
un,79
reset,79
holidays,78
benefits,78
boris,78
hole,78
wuhan,78
phony,78
drzwelimkhize,77
truly,77
majority,77
livestock,77
resist,77
groups,77
republican,76
25,76
running,76
worldwide,76
protocols,76
impossible,75
greatreset,75
acceptable,74
large,74
tech,74
genocide,74
misleading,74
yall,74
protocol,74
prior,74
reproductive,73
suffering,73
hate,73
correct,72
identified,72
official,72
what,72
nursing,72
toxicity,72
ny,72
africans,72
bioweapon,72
onpoli,72
piersmorgan,72
outside,72
doc,72
pope,72
fordliedpeopledied,71
uhn,71
prof,71
foreign,71
involved,71
dougfordtaughtme,71
fordfailedthepeople,71
engineered,71
private,70
spent,70
harris,70
lmao,70
related,70
statement,70
dies,70
kamalaharris,69
love_nature20,69
surprise,69
led,69
pm,69
weapon,69
legally,69
delay,68
transmitting,68
akhilesh,68
fool,68
overly,67
optimistic,67
passed,67
greater,67
thinks,67
cyrilramaphosa,67
johnson,66
fools,66
senjoniernst,66
bought,66
battle,65
lethal,65
wave,65
direct,65
twice,65
elonmusk,65
major,65
doom,64
lines,64
promote,64
happening,64
affect,64
blame,64
blair,64
source,64
200,64
is,63
gloom,63
campaign,63
covid20,63
expensive,63
injuries,63
mention,63
bells,63
covidiot,63
absolute,62
yadav,62
breaking,62
medication,62
version,62
300,62
up,61
illegal,61
israel,61
complications,61
mr,61
compensation,61
wearamask,61
anaphylactic,61
thehill,61
changed,61
ratings,61
seeding,60
attention,60
lower,60
federal,60
requires,60
spoiled,60
dosing,60
netherlands,60
unnecessarily,60
california,60
beware,60
administer,59
madej,59
rejecting,59
situation,59
beginning,59
corruption,59
incompetence,59
priming,59
narendramodi,59
prolong,59
carrie,59
baseless,59
experiments,59
agenda21,58
22,58
rubio,58
daily,58
minister,58
shown,58
target,58
six,58
fetuses,58
nearly,57
unfortunately,57
senator,57
pathogenic,57
ontario,57
reports,57
18,57
mankind,57
shall,56
pharmacitical,56
aware,56
wanted,56
together,56
delaying,56
suffer,56
bitchute,56
thalidomide,56
1963,56
97,56
hypocrite,56
sue,56
transmissible,56
deformalities,56
police,55
couple,55
for,55
older,55
kayburley,55
alcohol,55
out,54
discovered,54
wealthy,54
publicly,54
biotech,54
91,54
andrewyang,54
action,54
unlike,54
bharat,54
globalist,54
worldstar,53
87,53
regulators,53
tuckercarlson,53
protected,53
10downingstreet,53
recovered,53
feet,53
lots,53
louis,53
anybody,53
sitting,53
altering,53
changing,53
shakespeare,53
compromised,52
bharatbiotech,52
citizenship,52
pre,52
technologies,52
programme,51
blind,51
booster,51
humptytrumpty,51
dopeydon,51
professionals,51
ford,51
11,51
catholics,51
knowledge,51
unmaga,51
ha,51
tony,51
alexberenson,51
happy,51
nih,51
bethrigby,51
therapeutics,50
gatewaypundit,50
dengue,50
jabs,50
talkradio,50
perhaps,50
calling,50
shocking,50
deliberately,49
tucker,49
gratis,49
ensure,49
elected,49
senatemajldr,49
minimal,49
ugursahin,49
ade,49
luck,49
turned,49
advises,49
fetal,49
joe,49
introduced,49
dec,49
gamble,49
inhumanity,48
uniofoxford,48
tho,48
or,48
politician,48
meds,48
synthetic,48
indemnity,48
panel,48
injury,47
aka,47
seniors,47
droves,47
vaccin,47
supply,47
taxpayers,47
francis,47
babies,47
entirely,47
offset,46
er,46
watching,46
eyes,46
yr,46
id2020,46
screw,46
leaveeuofficial,46
charge,46
experience,46
conservatives,45
varneyco,45
juliahb1,45
nature,45
profits,45
brought,45
nations,45
harmful,45
economic,45
turns,45
gotten,45
coercion,45
card,44
clause,44
randpaul,44
moment,44
introduce,44
govrondesantis,44
drharshvardhan,44
them,44
halal,44
guidelines,44
creating,44
nhsengland,44
quantumtattoo,43
dougford,43
homes,43
tory,43
trumpispathetic,43
cares,43
class,43
wish,43
ignorant,43
depopulate,43
superior,43
hit,43
english,43
operationlockstep,43
selling,43
stock,43
fit,43
panic,43
employers,43
pushed,42
pork,42
autoimmune,42
uq,42
modi,42
price,42
vaccineswork,42
jeffbezos,42
again,42
seek,42
lindseygrahamsc,42
foundation,42
loved,42
peoples,42
warned,42
members,42
dear,42
independent,42
approving,42
tuesday,42
reckless,42
ple,42
extra,42
maskless,42
ferguson,41
prophecy,41
abortion,41
now,41
models,41
ego,41
richer,41
nygovcuomo,41
alert,41
understood,41
justify,41
foretold,41
15m,41
passport,41
subjects,41
brazen,41
devils,41
org,41
chn,40
clovis,40
holiday,40
288k,40
enhancement,40
permissible,40
convergence,40
appears,40
bannon,40
referrals,40
pfizercovidvaccine,40
bushes,40
barr,40
frm,40
fest,40
angry,40
arrested,40
kushner,40
lists,40
interference,40
message,40
paralysis,40
racial,40
covidsecondwave,39
becoming,39
industrial,39
elite,39
mike_pence,39
pointless,39
600,39
online,39
loss,39
ultra,39
150,39
terrible,38
hurt,38
brave,38
rant,38
sterilization,38
de,38
saline,38
5g,38
paying,38
analysis,38
distribute,38
headlines,38
pregnancy,38
sir,38
psychological,38
tissue,38
strand,38
complex,38
75,38
sought,38
tax,38
drericding,38
28,38
nationallockdown,38
999,38
facial,38
camera,38
worrying,38
showing,37
tracked,37
thread,37
page,37
advised,37
rests,37
catholic,37
tracyzille,37
hill,37
mukesh,37
pubic,37
attended,37
merkel,37
wisconsin,37
difference,37
administering,37
receives,37
ages,37
fucked,37
sad,37
fire,37
jumping,37
mil,37
moderna_tx,37
wef,37
thegreatreset,37
raging,37
basis,37
001,36
prevention,36
easy,36
vice,36
communist,36
extort,36
edifice,36
666,36
79,36
65,36
thieves,36
thru,36
stevefda,36
transfer,36
hoard,36
wealth,36
recover,36
stopped,36
nuremberg,36
level5,36
latimes,36
logic,35
agency,35
murdoch,35
ends,35
dark,35
confcovid,35
turkey,35
recommend,35
sinopharm,35
drink,35
fox,35
furtherwho,35
itvnews,35
eugenics,35
benshapiro,35
goal,35
smarter,34
promoting,34
facto,34
sleeve,34
drive,34
cmo_england,34
text,34
responsibility,34
clickbait,34
exposure,34
downright,34
cuomo,34
stops,34
reach,34
spain,34
maskup,34
attempt,34
west,34
highest,34
denying,34
paper,34
beans,34
critical,34
strong,34
offer,34
valuable,34
nigerians,33
childinthscountry,33
muslims,33
gtheseriousnessofforcedinjectionofuntestedtoxicdisabilit,33
thecatascopiceffctthtitslikelytohavepalesbrexitintoinsignificance,33
beat,33
confirmed,33
icu,33
pls,33
manage,33
special,33
24,33
gvaccinesintoevrymanwomen,33
alrady,33
summit,33
bank,33
ability,33
championsleague,32
moron,32
yrs,32
grandslams,32
westminster,32
hall,32
citizen,32
worldcup,32
a11179,32
straight,32
unesco,32
6pm,32
leads,32
celliottability,32
persons,32
candicecodymd,32
eight,32
starting,32
william,32
visa,32
contravention,32
spreads,32
oxfordvaccine,32
gopleader,32
brazil,32
theorist,32
specific,32
corporate,32
speakerpelosi,32
healing,32
declaration,32
fatality,32
universal,32
bioethics,32
temperature,31
willingly,31
devil,31
relevant,31
role,31
interest,31
individual,31
alaska,31
to,31
satanic,31
alarming,31
announcing,31
drosten,31
racist,31
pmoindia,31
smuggled,31
richardtthankyouforfullyrealiz,31
hancock,31
drhilaryjones,31
recent,31
prefer,31
rumours,31
explanatory,30
decisive,30
microchips,30
manufacture,30
jpcodymd,30
foetal,30
table,30
voluntary,30
faints,30
insufficient,30
bio,30
tracking,30
appear,30
myth,30
tragic,29
carlson,29
web,29
peg,29
abandoned,29
joniernst,29
faking,29
fascist,29
suppose,29
fdaobama,29
gloves,29
fertilityit,29
nice,29
